City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-yeniseyskiy,60.3725,93.0408,15.78,66,47,1.73,RU,1689979476
1,dakhla,23.6848,-15.958,20.68,84,0,12.55,EH,1689979476
2,lages,-27.8161,-50.3261,12.97,94,32,2.81,BR,1689979476
3,lebu,-37.6167,-73.65,10.58,91,100,3.69,CL,1689979476
4,piedra blanca,18.8443,-70.3169,30.96,73,43,1.64,DO,1689979476
5,ribeira grande,38.5167,-28.7,20.99,92,96,1.82,PT,1689979476
6,vilyuchinsk,52.9306,158.4028,19.15,80,80,4.33,RU,1689979476
7,kudahuvadhoo,2.6708,72.8944,27.91,72,99,3.79,MV,1689979477
8,blackmans bay,-43.0167,147.3167,7.63,88,55,3.04,AU,1689979477
9,tiksi,71.6872,128.8694,10.66,55,30,4.24,RU,1689979477
10,albany,42.6001,-73.9662,24.36,87,3,0.89,US,1689979351
11,brookings,44.3114,-96.7984,27.32,61,20,3.09,US,1689979477
12,adamstown,-25.066,-130.1015,21.08,72,50,13.66,PN,1689979477
13,praia da vitoria,38.7333,-27.0667,22.09,94,20,0.26,PT,1689979477
14,sumenep,-7.0167,113.8667,24.65,73,53,4.7,ID,1689979477
15,la passe,45.5549,-0.8967,17.21,74,0,4.01,FR,1689979477
16,tazovsky,67.4667,78.7,16.7,71,99,2.69,RU,1689979478
17,padangsidempuan,1.3667,99.2667,21.9,99,98,0.88,ID,1689979478
18,mana,5.6592,-53.7767,25.43,89,43,3.82,GF,1689979478
19,lucapa,-8.4192,20.7447,22.66,28,17,1.94,AO,1689979478
20,port-aux-francais,-49.35,70.2167,0.93,61,100,14.06,TF,1689979478
21,island harbour,50.724,-1.2758,16.1,75,43,0.45,GB,1689979478
22,waitangi,-43.9535,-176.5597,12.12,95,100,1.79,NZ,1689979478
23,talnakh,69.4865,88.3972,19.56,75,100,2.6,RU,1689979478
24,iqaluit,63.7506,-68.5145,7.85,87,75,3.09,CA,1689979478
25,kavaratti,10.5669,72.642,28.18,80,100,9.2,IN,1689979479
26,vung tau,10.346,107.0843,25.82,88,100,6.12,VN,1689979282
27,longyearbyen,78.2186,15.6401,6.91,81,100,5.14,SJ,1689979479
28,bethel,41.3712,-73.414,27.93,78,75,4.12,US,1689979459
29,matoury,4.8483,-52.3317,24.98,94,0,1.03,GF,1689979479
30,glen innes,-29.7333,151.7333,7.02,52,0,1.86,AU,1689979479
31,bilibino,68.0546,166.4372,23.68,40,37,0.97,RU,1689979479
32,amga,60.8953,131.9608,16.94,71,71,3.46,RU,1689979479
33,polyarnyy,69.1989,33.4478,8.24,83,97,6.72,RU,1689979479
34,kodiak,57.79,-152.4072,14.73,77,0,2.06,US,1689979480
35,lorengau,-2.0226,147.2712,28.24,77,71,2.13,PG,1689979480
36,ravar,31.2656,56.8055,27.81,19,96,0.99,IR,1689979480
37,sitka,57.0531,-135.33,16.94,82,100,2.57,US,1689979480
